title,content
Related links,"
1) Licensed higher education institutions in the UAE - Commission for Academic Accreditation- CAA 
2) Accredited programmes in the UAE - CAA. 
"
Public higher institutes,"Public institutes are primarily for UAE nationals and children of women who are UAE nationals. For admission of students who are not UAE nationals, you can check with each university's terms and conditions. UAE University UAE University - UAEU was founded in 1976. It awards a full range of undergraduate degrees in addition to graduate degrees, with many programmes that are internationally accredited. The university established research centres of strategic importance to the country and the region which are advancing knowledge in critical areas ranging from water resources to cancer treatments. UAEU was ranked amongst the best research universities in the Gulf region and Arab world, and within the top 5% of the universities worldwide. Read about the history and key achievements of UAEU . Zayed University (ZU) Zayed University (ZU) was established in 1998 as a women's institute. It recently opened a men's campus. ZU has US accreditation attesting its high standards. Higher Colleges of Technology (HCT) Founded in 1988, the Higher Colleges of Technology (HCT) is the UAE’s largest applied, higher educational institution. Approximately 23,000 students attend 16 men’s and women’s campuses across the UAE. HCT offers Applied Bachelor and Vocational Diploma study tracks in: 
1) Health Sciences 
2) Engineering Technology & Science 
3) Education 
4) Business 
5) Computer Information Science 
 If you are looking for a university in the UAE or abroad, the following links will help you: 
1) Government higher education institutes in the UAE - Ministry of Education 
2) Private higher education institutes in the UAE - Ministry of Education 
3) UAE Cultural Attaché abroad - Ministry of Education 
4) List of higher education institutes in Abu Dhabi - Department of Education and Knowledge -Abu Dhabi 
5) Higher education institutes in Dubai - Knowledge and Human Development Authority (KHDA). 
"
Private higher institutes,"The UAE has many private institutes offering higher education and specialisation in different fields. Some of the institutes are: Related links 
1) Search for private institutes for higher education in the UAE. 
 
1) Universities in Abu Dhabi . 
"
Global partnerships,"A number of international universities have campuses and/or programmes in the UAE.  Some are housed in special zones, including: 
1) Dubai Knowledge Park 
2) Dubai International Academic City (DIAC) 
3) University City of Sharjah . 
 Other high education programmes 
1) Paris-Sorbonne University 
 Paris-Sorbonne University opened its Abu Dhabi campus in 2006 and awards qualifications under French regulations and standards set by Paris-Sorbonne University in France. 
1) New York-Abu Dhabi University 
 New York-Abu Dhabi University is the first comprehensive liberal arts and sciences campus with a robust research component to be operated abroad by a major US university. Find out more about 
1) Licensed institutions of higher education in the UAE 
 
1) Higher Education Institutions in Abu Dhabi 
"
Admission department,"National Admissions & Placement Office (NAPO) is responsible for processing applications only from Emiratis and students whose mothers are Emiratis for admission to institutions of higher education in the UAE. Expatriate students residing in the UAE and/or international students have to approach each individual higher education institute for registration terms and conditions. Students who apply through NAPO are required to take EmSAT in English, Math, Science and Arabic tests and achieve the score set by the college/university they desire to get into. Emirati students with high general school scores are eligible for a scholarship to study abroad under the sponsorship of the UAE's Ministry of Education. UAE nationals/children of Emirati women who completed secondary education need to fulfil a number of other requirements, which include: 
1) completing General School Certificate (GSC) or its equivalent and achieving the score set by the desired college/university 
2) completing the unified online application for higher education and uploading all related documents through the ‘ Student portal ’ 
3) undergoing a medical check-up. 
 Students may also apply by accessing the Ministry of Education eService ‘register students in public institutions of higher education’ which requires the student to fill in the registration form and upload required documents . Note: Those who completed secondary school in the earlier batches/years must contact the desired college/university directly. Useful links: 
1) EmSat-The Emirates Standardised Test - Ministry of Education 
2) FAQs - Ministry of Education 
"
Technical schools,Graduates from Secondary Technical Schools (STS) have the same admission requirements as graduates from government secondary schools.
Applied technology schools,FAQs
Private schools graduates,"UAE nationals who completed secondary education from private schools and are seeking admission to a university, need to fulfil these admission requirements. MoE's website provides specific information for: 
1) holders of High School Diploma (American curriculum) 
2) holders of British curriculum GCSE/IGCSE (General Certificate of Secondary Education/International General Certificate of Secondary Education) 
3) holders of International Baccalaureate (IB). 
 The website of Ministry of Education under the page ‘FAQs’ provides information about application requirements to higher education institutes for high school graduates from private schools. Further, high school graduates from private schools, which follow curricula other than the public curriculum, must have their certificates equalised. Accredited tests for equalising private high school certificates include: 
1) SAT 
2) ACT . 
 Related links: 
1) Admission at Higher Colleges of Technology (HCT) 
2) Admission at UAE University 
3) Admission at Zayed University . 
"
Scholarships for nationals,Read about government's scholarships for UAE students .
General information,"The UAE needs to produce 10 Emiratis with vocational skills for every university graduate produced to achieve a sustainable and diversified knowledge-based economy. Therefore, it focuses on building a national system to ensure quality technical and vocational education and training (TVET) system. The government prioritises building relevant skills to coincide with new and emerging technologies, materials and systems, ensuring equal access for all women and men to affordable and quality technical, vocational and tertiary education materials and systems. It aims further to substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship ."
Scholarships for students from abroad,"Many universities in the UAE offer scholarships and grants to recognise leadership potential and outstanding academic achievements. In 1999, H. H. Sheikh Mohammed bin Rashid announced the creation of scholarships for studying in the American University in Dubai for eligible students. This step reflects the government's commitment to education as the driving force in the accomplishment of Dubai's and the UAE's public agenda. Many universities in the UAE offer scholarships to students from abroad, based on mutual agreements between the UAE Government and other countries. Check with the respective universities for the available academic and sports scholarship programmes. For more information, please refer to: 
1) Scholarships in Abu Dhabi - TAMM 
2) Undergraduate Scholarships for International Students - UAEU 
"
Artificial intelligence (AI) in universities,"Several public and private universities in the UAE offer different majors at various levels in artificial intelligence (AI) for those who wish to pursue a career in this field. Some of these institutions that offer courses in AI are: 
1) Mohamed bin Zayed University of Artificial Intelligence (MBZUAI) 
2) Sorbonne University Abu Dhabi 
3) Khalifa University 
4) United Arab Emirates University (UAEU). 
 Find out more graduate and undergraduate programmes in AI . Find also top universities with AI major , based on the QS world University Ranking. Scholarships in (AI) The UAE offers a variety of scholarships for those interested in studying (AI) in the UAE or abroad. Scholarship providers in the field of ICT include: 
1) Telecommunications and Digital Government Regulatory Authority (TDRA) – TDRA provides scholarship through its BETHA program which supports education in ICT-related disciplines at prestigious UAE and international universities. 
2) MBZUAI  – It provides scholarship to all students admitted on full-time basis. Scholarship covers full tuition fee, a monthly stipend and many other benefits. 
 Find out more about scholarship opportunities for learning AI in the UAE ."
The National Program for Coders,"he National Program for Coders aims to foster the growth of  UAE’s digital economy and to develop talent, expertise and innovation in the field of coding. Read about the pillars and objectives of the National Program for Coders."
UAE Artificial Intelligence Internship Program,"The UAE AI internship Program aims at bridging the gap between the skills required in the technology sector and supporting youth and improving their potential to enable them to meet future challenges in the rapidly changing technology sector. Dell Technologies helps students play a pivotal role in improving the efficiency of government organisations to 80 per cent and achieve a cost reduction of up to 45 per cent, equivalent to millions of dollars. The UAE AI Internship Program is scheduled to run for 3 years with the participation of 120 Emirati students each year. 10 students will be selected to receive intensive training for 5 days to obtain a diploma in Data Engineering and Cloud from Dell. Students will gain practical experience across the company’s various departments and will be invited to attend major events, such as GITEX Technology Week. Benefits The benefits of the AI Internship Program include: 
1) Providing practical opportunities for Emirati youth by encouraging them to acquire future skills and learn the latest Artificial Intelligence (AI) technology 
2) Preparing a generation of qualified Emiratis to meet the needs of future jobs in the UAE 
3) Developing the skills of Emirati youth in AI technology, to shape the future and managing AI processes 
4) Awarding a diploma in Data Engineering and Cloud by Dell Technologies and providing intensive technical training. 
"
Artificial Intelligence Summer Camp,"The UAE government launched the UAE AI Summer Camp , in collaboration with a number of leading national and international technology and education companies in the private sector. The organisation of the camp is part of initiatives of the UAE Council for Artificial Intelligence, which aims to provide direction to the UAE in this field, supporting the efforts of knowledge transfer and building a generation capable of adopting advanced technology in developing solutions for various future challenges. Related links 
1) UAE government launches AI summer camp – WAM 
"
Scholarships from Ministry of Education,"MoE provides scholarships to UAE nationals for graduate and undergraduate programmes to study abroad in one of the recognised universities as specified by the ministry provided the applicant: 
1) is a UAE citizen 
2) has good conduct 
3) has secured in the previous qualification an average of very good as per the set standards 
4) has the required score in the language proficiency examination set by the respective college/university. 
 Scholarships are provided to the following categories of applicants: 
1) undergraduate students 
2) graduate students 
3) students studying at their own expense and desiring to apply for the scholarship 
4) high-performing students 
5) employed individuals. 
 Applicants may access scholarship eService to review terms and conditions and apply. Related eServices: 
1) Majors specified for external scholarships 
2) List of higher educational colleges/universities for scholarships abroad 
 Useful links 
1) Cultural attachés contacts 
2) Conditions of scholarships 
3) Getting a scholarship - Abu Dhabi eGovernment 
4) Obtaining scholarships and part-time jobs - Dubai eGovernment 
 Cancellation of the scholarship The scholarship will be terminated by a decision of the education Minister based on the federal law concerning scholarships and grants."
Scholarship programmes from other government entities,"
1) Scholarship Office (SCO) - Presidential Court 
 Scholarship Office at Ministry of Presidential Affairs selects outstanding Emirati students to travel abroad to pursue education at prestigious international universities. SCO administers two scholarship programmes: 
1) Distinguished Student Scholarship (DSS) 
2) Study Abroad Scholarship Programme (SASP) 
 Read about the terms and conditions and the process to apply to the Scholarship Office . 
1) Scholarships - Department of Education and Knowledge  provides scholarships to distinguished UAE students by partnering with organisations throughout the UAE. Scholarships are available in disciplines such as science and technology, teaching, urban planning, food control and transportation. 
2) TDRA scholarship programme 
 Through its ICT Fund , Telecommunications and Digital Government Regulatory Authority offers Betha programme for undergraduate and graduate students wishing to study ICT-related subjects. The Betha programme has provided hundreds of scholarships for bachelor and masters degrees and enabled Emirati students to study in the UAE, the USA, Australia and Japan. 
1) Masar programme for college scholarships  Under the Masar programme, Ministry of Finance (MoF) offers college scholarships to assist UAE high-school graduates in completing their studies in finance, accounting and other disciplines at accredited universities in the UAE. 
2) Entaliq scholarship programme  Mohammed Bin Rashid Space Centre (MBRSC) offers scholarships to the brightest students in the UAE who demonstrate the aspiration to become a top engineer or scientist. The programme allows access to international experience through MBRSC partnerships across the world. Applications can be submitted by sending the CV and required documents to: scholarships@mbrsc.ae . 
 Read more about scholarships in the UAE and  Abu Dhabi . Related links 
1) Scholarships, fellowships and Graduate Assistantships - UAE University 
"
Shorik initiative,"Shorik is an initiative of Ministry of Education. Under this initiative, the ministry facilitates online peer counselling and guidance on academic specialisations to higher education students on scholarships abroad, and to secondary education students in the UAE. Find a Guide to studying in the UK (PDF, 400 KB) issued by the UAE Embassy in London."
For UAE students,"Students can check with Ministry of Education for available exchange programmes and also with foreign embassies and consulates in the UAE who might arrange student exchange programmes. There are a  variety of US Government-sponsored exchange programmes that link Emiratis and Americans, such as the Fulbright Program. These programmes are designed to give Emirati citizens an enriching academic, professional  and personal experience in the United States, as well as provide them with a chance to exchange ideas with their American counterparts. Students may also enquire about available student exchange programs from government higher education institutes and private higher education institutes in the UAE. Related links: 
1) UAE Cultural Attaché 
2) Student Exchange Program at United Arab Emirates University 
3) Student Exchange Program - University of Dubai. 
"
For students from abroad,"Students from around the world can apply for a number of available exchange programmes, which provide students with different educational and cultural experiences. One of the programmes is the student exchange programme by Petroleum Institute in Abu Dhabi, which gives visiting students the opportunity to experience the United Arab Emirates while gaining transferable credits towards their engineering degree. Other programmes are also offered by various universities in the UAE. Students can check with their respective university for available plans, in addition to contacting the UAE mission in their country. Useful links: 
1) UAE embassies and consulates overseas 
"
Regulatory bodies of TVET,"National Qualifications Center (NQC) is the federal entity that is responsible for developing and maintaining a framework for national qualifications and regulating the technical and vocational education and training (TVET) sector in the UAE. NQCrecognises TVET awarding bodies and endorses national vocational qualifications in the UAE. The entity extends its services to TVET institutes, as well as to individuals who provide education and training at TVET-licensed institutes in the country. All national vocational certificates issued by NQA’s awarding bodies are accredited for employment purposes. Vocational Education and Training Awards Council (VETAC) is a supervisory and regulatory body at the federal level. It was set up to manage and coordinate vocational, technical and professional education and training sector in the UAE, under the auspices of National Qualifications Authority. Until 2020, the National Qualifications Centre has endorsed 200 national qualifications. In  Abu Dhabi, the Abu Dhabi Centre for Technical and Vocational Education and Training (ACTVET) is  authorized to regulate TVET within the Emirate of Abu Dhabi. The Qualifications and Awards in Dubai (QAD) is the arm of KHDA responsible for regulating the technical and vocational education and training (TVET) sector, and to quality assure TVET qualifications in Dubai. QAD was established in 2014 and it operates  under the rules and regulations of KHDA; howerver, its awarding body functions are regulated by the NQC and VETAC. Find a list of accredited awarding bodies in the UAE."
Joining TVET education,"Vocational and technical education is a great platform for Emirati students who aspire  to build their vocational skills to have a flourishing career. UAE nationals, who are interested in technical and vocational education and training, may switch to a technical secondary school at the intermediate level/Cycle 2 stage of education. Upon successfully completing the study, students will be awarded a Technical Secondary Diploma. Accordingly, graduates from a Secondary Technical school (STS) who wish to continue their higher education, will have the same admission requirements as graduates from government secondary schools."
EmiratesSkills,"EmiratesSkills is an initiative of Abu Dhabi Centre for Technical and Vocational Education and Training (ACTVET). It aims to improve the competency levels of the UAE’s youth and prepare them for the future skills and a sustainable knowledge–based economy. Its activities are focused on raising the awareness of career-based technical and vocational education among young Emiratis by organising competitions, events, training programmes and technical career activities. EmiratesSkills offers students opportunities to participate and compete in national, regional and world skills competitions, and for continuous benchmarking with international skills standards. Skills competitions also include juniors aged between 12 and 15 years and people of determination (people with special needs). Learn more about EmiratesSkills and know how to join."
Find TVET institutes in the UAE,"The UAE has made great strides in vocational and technical education by opening several specialised institutions and promoting practical learning methods. Some of the vocational and technical educational centres include: 
1) Centre of Excellence for Applied Research and Training under Higher Colleges of Technology (HCT) 
2) National Institute for Vocational Education (NIVE) 
3) ADNOC Technical Academy 
4) Petroleum Institute (PI) 
5) Mohammed bin Rashid School of Government 
6) Emirates Aviation University 
7) Emirates Academy of Hospitality Management 
8) Etisalat Academy 
9) Abu Dhabi Centre for Technical and Vocational Education and Training (ACTVET) 
10) Abu Dhabi Vocational Education and Training Institute (ADVETI). 
"
Provisions for people of determination,"The term special education describes the programmes and services designed for people of determination (people with special needs) in order to ensure that all students can reach their full potential. The term 'special educational needs' is used to describe the educational needs of any one with a disability, disorder, difficulty, impairment, exceptionality or any other factor that may affect a student's access to learning and educational performance. The government of the UAE strongly supports education and learning services for people of determination. In November 2006, the UAE signed the Convention on the Rights of Persons with Disabilities and Optional Protocol . Federal Law No. 29 of 2006 , is the first law in the UAE to protect the rights of people of determination. Article 12 of the law provides: the country guarantees people with special needs equal opportunities in education within all educational, vocational training, adult education and continuing education institutions in regular classes or special classes with the availability of curriculum in sign language or Braille and or any other methods as appropriate. Ministry of Education's (MoE) strategy is to adapt public schools to facilitate education for people of determination. Accordingly, people of determination are entitled to enrol in any school, without exception. These students are catered for by Department of Special Education, which was established in 2008 by MoE. This Department promotes the rights of people of determination and ensures that they have access to the same educational opportunities as students in the regular education system. Education is of the pillars of the ' National Policy for Empowering People of Determination '. T he government will provide an integrative education system in public and vocational education and adapt school curricula to cater their needs. It will also provide qualified teachers and specialists, appropriate supportive technologies and learning materials."
Inclusive education for people of determination,"The UAE has made tangible efforts to include people of determination in mainstream education. These efforts are reflected in the Ministerial Resolution No. 647 for the year 2020 on the policy of inclusive education (PDF in Arabic, 500 KB), which directs government schools to adapt themselves to cater to the needs of people of determination and provide them with the best education services. Additionally, the ministry established the People of Determination Department (formerly known as the Special Education Department), in 2008 to protect the rights of students of determination and provide them with equal opportunities as other students. The ministry also provides all supporting services (mentioned below) to students of determination for free in government schools. The ministry provides specialised teachers with high behavioural skills that enable them to care for people of determination. It also launched several skill training programmes that include clear instructions on dealing with people with visual and hearing impairment. It launched programmes for teachers to identify talents, understand sign language for those with hearing difficulties, and know how to properly deal with language disorders experienced by children. The ministry has established support centres across the UAE to follow up on the progress of students of determination before and after inclusion within schools. These centres provide different services such as diagnosis of students with disabilities and learning difficulties, providing recommendations, assisting parents in dealing with their child's condition, and advising support services suitable for their children. Services and facilities for students of determination The schools are required to provide the following facilities for students of determination: 
1) wheelchair ramps and elevators, toilets, buses, cars and parking spaces prepared for students with physical disabilities 
2) special education resource rooms and sensory and comprehensive rooms 
3) specialised human cadres such as: special education teacher, teacher assistant, escort, sign language interpreter, Braille education specialist, visual impairment specialist, psychologist, speech and language specialist, special education specialist 
4) assessment and diagnosis of students of determination by a multidisciplinary team 
5) support services and individual and group treatment and rehabilitation sessions, according to their needs such as speech and language sessions, Braille education sessions, behaviour modification sessions, sign language sessions 
6) counselling, awareness and guidance sessions for parents of students of determination 
7) devices and assistive technologies according to their special needs 
8) workshops and courses for administration staff, teachers, guides, specialists and parents of students. 
 Note that workshops are conducted for students of both, public and private schools. In addition, schools must support students of determination by engaging them in all activities of the ministry such as prize awarding, competitions and programmes inside and outside the UAE such as the “Our Ambassadors” program . View the list of services and facilities provided by government schools to students of determination (Arabic, xlsx, 114 KB). Below is a list of assistive technologies provided to each category of student of determination according to their needs. Read the supporting technologies and devices guide (PDF, Arabic, 1.56 MB). Caring about students of determination during the COVID-19 crisis The ministry continued to provide support to students of determination during the pandemic of COVID-19 through distance education platforms such as Microsoft Teams, Al-Diwan, etc.). Exams were conducted electronically. A sign language interpreter was provided to the students. Remote assessment, diagnosis and treatment sessions too continued. In support of the ‘ My community… a city for every one’ initiative and Dubai Disability Strategy 2020 which aims for Dubai to become disability-friendly by 2020, Knowledge and Human Development Authority - KHDA launched the Dubai Inclusive Education Policy Framework (PDF). The framework provides valuable information about the standards required in the area of educational practice and offers clear guidance on the actions to be taken to ensure the provision of quality inclusive services for students of determination (disabled or people with special needs). The framework applies to all education sectors across Dubai. It includes early childhood services, special needs centres and primary, secondary and higher education providers. It also empowers education providers, regulatory authorities and governing bodies in Dubai to closely monitor progress and compliance. MoE offers several training programmes and facilities targeting children of determination, their parents and kindergarten teachers. Programmes include guidance for dealing with people with visual and hearing disabilities, talent identification programmes, getting familiar with sign language for the deaf and handling speech and language disorders in kindergarten-going children. Ministry of Education has set up support centres to follow up and evaluate the progress of people of determination before and after integration in schools. These centres provide various services including individual diagnosis of students with disabilities and learning difficulties, recommendations, helping and supporting parents to deal with the child's situation and directing them to sources with appropriate support services for their child. National institutes concerned with people of determination can benefit from annual grants and rewards and professional programmes for qualifying experts in the field of special education. Community Development Authority (CDA) offers tuition assistance in cash up to AED 50,000 per year to low-income earners with children that have disabilities. For more information, refer to: 
1) Khalifa Award for Education 
 Useful links: 
1) Programmes and Initiatives for People of Determination in Abu Dhabi -TAMM 
2) Special education - Embassy of the UAE - Cultural Division, Washington DC 
3) General Rules for the Provision of Special Education Programs and Services (Public and private schools) (PDF, 2 MB) 
"
Centres for people of determination,"There are many government and private organisations, centres and clubs that provide training and rehabilitation to people of determination (people with special needs). Ministry of Community Development is responsible for issuing licences to private organisations and centres working in the field of care, education and training of people of determination. Refer to the services provided by Ministry of Community Development for people of determination. Key government centres for people of determination Key government centres include: 
1) Zayed Higher Organization for People of Determination (ZHO)  Zayed Higher Organization for People of Determination (ZHO) is an umbrella for all humanitarian bodies, social services, people of determination institutions and any future bodies established in Abu Dhabi for humanitarian goals. Learn more about Zayed Higher Organization for People of Determination . 
2) Sharjah City for Humanitarian Services (SCHS ) 
 Sharjah City for Humanitarian Services (SCHS) is an independent organisation in the emirate of Sharjah aiming at serving people of determination in the UAE. Under the umbrella of the Supreme Council for Family Affairs in Sharjah, SCHS serves annually more than 3,000 people with determination from different nationalities and age groups. Learn more about Sharjah City for Humanitarian Services . The list below includes some schools for people of determination sorted by emirate: Abu Dhabi 
1) List of centres for people of determination in Abu Dhabi 
 Dubai 
1) Dubai Autism Centre 
2) Dubai Centre for Special Needs 
3) Al Noor Training Centre 
4) Rashid Centre for the Disabled 
5) Equestrian Association for People of Determination 
 
 Sharjah 
1) Sharjah Autism Center 
 Ras Al Khaimah 
1) ABA Center for Special Needs 
 This is a list of government and private centres for people of determination in the UAE. (Available only in Arabic language.)"
Professional and Practical Training Programme for Emirati students,"‘Professional and Practical Training Programme’ for Emirati students The ‘Professional and Practical Training Programme’ is designed for Emirati students, from the ninth grade to their final year of higher education. It aims to facilitate their integration into the private sector, bridging the gap between the education system and the labour market. The pilot phase of the programme will run for one year, bringing together 3,500 students from various stages of their education. Following this phase, it will expand over 5 years to include all students in these grades. Objectives The programme aims to: 
1) encourage students to enter the private sector, reshaping their perceptions of it from an early age 
2) build their expertise to enable them to find suitable career opportunities and expand their career prospects 
3) familiarise students with the fundamentals of work 
4) highlight the important role the private sector plays, and the opportunities it offers 
5) assist students in exploring their capabilities and potential 
6) guiding students towards the right career path that enhances their role in the UAE’s development 
7) helping students develop the skills and experience required to qualify for the best opportunities. 
 The programme pursues the following three approaches: Ministry of Human Resources and Emiratisation (MoHRE) launched this programme in collaboration with Ministry of Education . Ministerial Resolution No. 620 of 2023 Regarding the Pilot Phase of the Professional Training Programme for Emirati Students. (PDF, 213KB) provides more information about the programme, including: 
1) process and participants in the pilot phase 
2) partners in the pilot phase 
3) responsibilities of MoHRE and its partners 
4) selection of participating establishments 
5) roles and responsibilities of participants 
6) responsibilities of educators, institutes and colleges 
7) implementation of the regulatory framework of the pilot programme. 
 Read news coverage on the website of MoHRE."
Madrasa (the eLearning platform),"In October 2018, the UAE launched Madrasa , a free eLearning platform that provides 5,000 free Arabised videos in general science, math, biology, chemistry and physics. It also provides 11 million words of educational content to students from kindergarten to grade 12. The platform is accessible online to over 50 million Arab students around the world. Students can access the platform on their personal computers or mobile phones through Madrasa app which is available on iTunes . The eLearning platform presents the daily 1000x1000 competition that poses one question a day for 1,000 days. Students will get the chance to answer one question daily and enter a raffle draw to win USD 1,000.  Madrasa is the first outcome of the Translation challenge that was announced in 2017 by Mohammed Bin Rashid Al Maktoum Global Initiatives (MBRGI). The platform aims to: 
1) bridge the knowledge gap in the Arab region 
2) remove the barrier that Arab pupils encounter when they search for resources and information available in English 
3) create a new generation of qualified Arab researchers, scientists, innovators and inventors capable of building knowledge-based societies and shaping better future of their countries 
4) provide quality education which follows the latest international curriculum in science and mathematics 
5) establish the foundations of self-learning and methodology, along with the traditional educational institution. 
 In the future, the platform will include courses on Arabic language, computer science, engineering, programming, artificial intelligence and space science. Read news coverage relating to the launch of Madrasa on WAM ."
The Digital School,"‘ The Digital School’ is an initiative by Mohammed bin Rashid Al Maktoum Global Initiatives ( MBRGI) to provide a certified online education to students who do not have easy access to formal education in the Arab region and the rest of the world. The initiative, particularly targets young people in refugee camps and marginalised communities, irrespective of their social, economic and educational backgrounds. To realise the objectives of this initiative, an ‘Alliance for the Future of Digital Learning’ was formed to support and develop the Digital School’s systems across the various stages of implementation. The Digital School will have teachers that would be selected on their organisational and leadership skills and affinity to work with young people. Curriculum and accreditation The school will blend live and self-paced virtual classes in Maths, Science, Arabic, Computer Studies and English powered by interactive simulation, game-based learning and artificial intelligence-driven learning modules. Students will be assessed through interactive activities, tasks and digital engagement systems. The school will seek digital learning accreditation from leading bodies such as Cognia , a non-profit organisation that accredits schools internationally. It will also coordinate with relevant education entities in the region to establish an accreditation model for digital education and provide curricula aligned with the national education system. The launch of The Digital School The initial phase of the school started in November 2020 with 20,000 students. This phase aims to test the digital systems, content flow and suitability for each age group, as well as students’ engagement and response to the curricula. The Digital School aims to reach one million students by the year 2026. Read related news coverage on the websites of Dubai Media Office and WAM . 
1) The Digital School 
"
Diwan eBook reader,"Ministry of Education led launched Diwan eBook reader , an app that facilitates the downloading of books and online study. It lets teachers and students from the government schools to view and interact with the learning curriculum electronically."
Duroosi,"Ministry of Education in the UAE, in partnership with Etisalat and Google launched online education to develop hundreds of tutorials on YouTube aimed for Grade 11 and 12 students. Duroosi (which means my studies in Arabic), is a YouTube channel with 600 tutorials, covering a variety of subjects based on the national curriculum, and intended to help families cut back on the high cost of private tuitions. MoE scanned all the important topics for Grades 11 and 12 and brought the material to Etisalat, which produced the YouTube videos in Arabic. This is Etisalat's first eEducation project; the company is also looking to develop similar tutorials for other age groups."
Regulation of private schools,"‘ Federal Decree Law No. 18 of 2020 on Private Education’ (PDF, 4056 KB, available in Arabic only) organises the educational process in the UAE’s private schools. It regulates the licensing of private schools, the approval of educational curricula and the safety of students. Article 11 of the Decree Law outlines certain obligations that private schools must comply with . The obligations include: 
1) providing all educational, administrative, health and environmental requirements, as well as security and safety measures within their premises 
2) maintaining a qualified licensed staff 
3) submitting annual reports on the school's academic, financial and administrative status  to Ministry of Education (MoE) or the local education authority 
4) creating records for students and staff 
5) preserving the Islamic and Arab principles, public morals and the UAE’s values and traditions 
6) respecting the national identity and sovereignty 
7) playing the national anthem and raising the flag of the UAE only, without any other flag 
8) not placing any pictures or paintings of personalities or figures other than the leaders of the UAE 
9) obtaining permission before making any significant changes to their activities, use of facilities or curriculum 
10) complying with any additional requirements as determined by MOE or the local education authority. 
 Further, private schools cannot raise or change educational fees or add extra fees to its activities unless it has the approval of MOE or the local education authority first. They must have a policy for student affairs that includes equality and non-discrimination, professional treatment of students and parents, and a supportive environment for students of determination i.e. students with mental or physical disabilities. School management is responsible for keeping the students safe during the academic day, whether they are inside the school, on its facilities, on buses or outside its premises while being engaged in any of the school’s activities. Schools must comply with the unified Code of Conduct issued by MoE, or other local education authority. The law mentions fines and penalties for violating its provisions."
Licensing a private school in the Northern Emirates,"Ministry of Education is responsible for licensing private schools in the UAE (except in the emirates Abu Dhabi, Dubai and Sharjah). The following are the conditions required to be met for issuing a licence for a new school: Requirements for a private school These are the requirements to be followed by a private school that is applying for a licence. Conditions to be met by national companies seeking to establish private educational institutes Related links 
1) Request to open a private school – Ministry of Education 
2) Cabinet decision No. 29 of 2008 on the Executive Regulation of Private Education (Arabic) – Ministry of Justice 
"
Licensing a private school in Abu Dhabi,"Department of Education and Knowledge is responsible for licensing schools in the emirate of Abu Dhabi. For more information about private school licensing in Abu Dhabi refer to ' Organising Regulations of Private Schools in the Emirate of Abu Dhabi' - In Arabic (PDF- 27813 KB). Read about 
1) Private schools in Abu Dhabi - ADEK 
2) Schools licensing in Abu Dhabi- TAMM. 
"
Licensing a private school in Dubai,"Knowledge and Human Development Authority is responsible for licensing private schools in the emirate. Learn more about registration of private schools in the emirate of Dubai at the following links: 
1) Private Schools Permit Issuance 
2) How to open a private school in Dubai 
3) Regulation of building conditions and specifications (Arabic) 
"
Licensing higher educational institutes,"Ministry of Education is responsible for licensing higher educational institutes in all emirates. Licensing higher educational institutes is subject to the following conditions: 
1) Approval of the competent authority in each emirate (i.e. KHDA in Dubai and Department of Education and Knowledge in Abu Dhabi) 
2) Security approval by the competent authority 
3) Fulfilling standards required for the licence. 
 The application for licensing higher educational institutes goes through some phases. They are: Related links 
1) Institution of higher education licence – Ministry of Education 
2) Ministerial Resolution No. 1 of 1992 on Rules and Procedures for Licensing Higher Education Institutions (Arabic) – Ministry of Justice 
3) Higher Education Permit Issuance – Knowledge and Human Development Authority 
4) Higher Education - TAMM 
5) Higher Education -ADEK- Abu Dhabi 
"
